"no_de_solicitud","fecha_de_creaci_n","tipo_de_solicitud","es_anonima","descripci_n_de_la_solicitud","estado","fue_delegada","origen"
"373049907102","09 septiembre 2023 08:05:00","Petición","NO","Buenos días Alcaldía de Flandes

Amablemente solicito información ya que habito en la vereda Topacio del municipio de Flandes aproximadamente un año, lo cual he podido evidenciar es que no contamos con una ruta de buses que nos permita transportarnos fácilmente a los distintos lugares, por tal motivo estos nos perjudica mucho a los habitantes del sector, ya que no siempre se cuentan con los recursos para tomar taxi sin contar con los cobros abusivos y excesivos de los taxistas.     
 Si bien es cierto que la situación económica está difícil, deberían facilitar con su pronta  gestión una ruta de buses que nos conecten con los demás municipios y mejorar la calidad de vida de los habitantes. 
Me gustaría saber si ya han evaluado esta situación o tiene algún proyecto? 

Muchas gracias.

Quedó atenta.","Abierta","SI","PQRDS"
"372915721702","23 agosto 2023 02:59:22","Petición","NO","DERECHO DE PETICION URGENTE","Cerrada","SI","PQRDS"
"372907359706","23 agosto 2023 12:04:07","Sugerencia","SI","cordial saludo, solicito ayuda para descargar el recibo de pago de mi impuesto predial. Intente por la página web, la app y con ninguna he podido.    vera.proyectosln@gmail.com","Cerrada","SI","Chat"
"342338644702","18 mayo 2023 10:52:10","Petición","NO","Derecho de petición","Abierta","SI","PQRDS"
"373033773706","08 septiembre 2023 01:17:34","Sugerencia","SI","Respetados Señores hace como dos meses les solicite: Buenas tardes soy propietaria de los locales comerciales Nos. 3 y 4 de la Manzana 19 del Conjunto Residencial Alcala Flandes Tolima, según las Matrículas Inmobiliarias Nos. 357-46334 y 357-46335.
Les solicito muy respetuosamente me informan que debo hacer para que los citados locales comerciales que están ubicados en el Conjunto Residencial Alcala Flandes Tolima., se puedan cambiar de naturaleza de Comercial a Mixtos o Residenciales, que documentación y requisitos se necesitan y si tiene algún costo económico,  que cuesta dicho tramite.

GLORIA ESPERANZA TRIANA HORTA
C.C. No. 51.63.096 de Bogotá
 Nadie me da Respuesta. Por favoorrrr que hago","Abierta","SI","Chat"
"373021695702","08 septiembre 2023 10:12:20","Petición","NO","Actualmente me encuentro adelantando los tramites para generar mi declaración de renta correspondiente al año 2022, al parecer dentro de la información exógena que la Alcaldía reporto a la DIAN, incluyo de manera equivocada una propiedad bajo mi número de cedula. No tengo ningún nexo ni familiar, ni profesional, ni comercial con el Municipio de Flandes -Tolima.  Esto influye en la generación de mi declaración de renta y que tiene como plazo mes de octubre de los corrientes para no incurrir en multas.","Cerrada","SI","PQRDS"
"373012640902","07 septiembre 2023 05:11:58","Petición","NO","Buenas tardes
Quisiera saber la alcaldía o la entidad pertinente no estuvo pendiente del proyecto de vivienda de interés social Vallesue, ubicado en la calle 1 sur calle 1 Sur #11 – 111/263, soy copropietaria con mi hermano de la apto 201 torre 6 bloque A, y estos apartamentos están en este momento sin medidor de luz, la constructora realizo la conexión con la cometida de ellos.  actualmente la constructora prabyc ingenieros SAS,   le adeuda a codensa 271 millones los cuales quieren que los propietarios asuman diciendo que son solidarios ante la deuda, pero no se puede llamar solidarios por el simple echo que primero se tiene  una conexión temporal y segundo en ningún momento se hizo acuerdo con ellos para colaborar con la deuda. 
Enel codensa  a dado la orden de cortar el servicio pero ninguno de los dos nos quieren colaborar con la instalación de los medidores hasta que la cuenta se encuentre saldada. debemos tener presente que se están vulnerando muchos derechos fundamentales como son:  la salud, educación, a una vida digna, a la 
igualdad, a los servicios públicos, al mínimo vital y sobre todo a una vivienda digna,
Recurro a ustedes como ente municipal que vigila a los proyectos de las constructoras  y mas de interés social para que nos ayuden a resolver esta problemática, ya que los derechos de petición que responden enel y prabyc son que debemos de asumir la deuda que esta a nombre de una fiduciaria, quien nos garantiza que nos van a poner los respectivos medidores a los 216 apartamentos de 6 torres que empezaron a entregar desde el año 2016.
solicito acompañamiento o nos indiquen los pasos a seguir para que nos sean instalado los medidores de luz., que entren a revisar a la constructora prabyc para ver si en verdad están cumpliendo con las normativas que enel solicita, que entren a revisar a enel esta problemática o si es posible que se pueda hacer la conexión con otra entidad que se encuentre en el municipio.
Anexo los derechos de petición interpuestos como copropietaria a prabyc,  las ultimas respuestas que ha enviado prabyc no han contestado de acuerdo a lo solicitado sino cortan y pegan lo mismo. también se interpuso un derecho de petición a Enel, a la fiduciaria Alianza, se ha interpuesto una demanda en la sic y se han envido correos con copia a la sic y super servicios.","Abierta","SI","PQRDS"
"373004441302","07 septiembre 2023 01:30:06","Petición","SI","Que se sirvan:
a)	Implementar todas las medidas legales pertinentes para que se eviten las quemas de material vegetal que se llevan especialmente a acabo en las horas de la noche en los alrededores del Condominio Villas del Mediterráneo ubicado en la vereda el Topacio (Flandes-Tolima).
b)	Ordenar a quien sea pertinente el mantenimiento (limpieza y desobstrucción) del canal de desagüe que se encuentra en la parte trasera del predio denominado “El silencio” con el propósito de evitar inundaciones durante el período de lluvia. El mencionado canal no cuenta con nombre, inicia en la entrada del kiosco de coca cola y voltea por la vía en donde quedaba antes la carrilera, bordeando el Condominio Villas del Mediterráneo. Remito los v{ideos cuando ustedes especifiquen. En este espacio NO SE PUEDE","Abierta","SI","PQRDS"
"372991145902","04 septiembre 2023 09:54:49","Petición","NO","Cordial saludo  respetuosamente me permito solicitar el retiro del reporte de información exógena para la declaración de renta ya que El inmueble ubicado en Flandes conjunto residencial Terrazas de Alejandría casa E5  se vendió en el año 2020  y nos reporta a nombre de Luis Ernesto paez rodriguez y Angie Viviana Medina Pulido  favor verificar y quitar el reporte lo más pronto posible el reporte aparece Municipio de Flandes nit 800100055 	Valor avalúo catastral; considerar sólo lo que le corresponda como propietario quedó atento a su pronta solución y me pueden notificar al siguiente correo electrónico lucho100876@hotmail.com","Cerrada","SI","PQRDS"
"372988823802","01 septiembre 2023 11:38:41","Petición","NO","Dosquebradas, septiembre 1 de 2023


Señores
Alcadía Municipal Flandes
Atn. Instituciones educativas de educación básica y secundaria y ciclos lectivos integrados especiales públicas y privadas

Asunto:   Recordatorio invitación 

X Concurso de crónica infantil y juvenil  Ojitos Lectores
(dirigido a: estudiantes matriculados en los grados 3° a 8°, ciclo II -III o su equivalencia)

Tema: “Historias de animales que transforman vidas humanas y promueven la relación positiva con el planeta y otros seres vivos”

Fecha Convocatoria:  Julio 10  a Septiembre 30  de 2023

Como concurso estaremos apoyando el proceso de información de ¿cómo participar? para ello pueden contactarnos a través del Celular y WhatsApp +57 301 4272579 y/o al correo electrónico ojitoslectores@gmail.com.

Adjuntamos:
Recordatorio.

Visítanos: 

https://ojitoslectores.com

Respetuosamente, les solicitamos difundir con sus instituciones educativas públicas y privadas de su municipio.

Agradecemos su valiosa colaboración.

Atentamente, 

Daniel González Rayo - Rector						
Patricia Pungo - Coordinadora y Gestora Ojitos Lectores","Abierta","SI","PQRDS"
"372974534802","28 agosto 2023 11:54:58","Petición","NO","Solicito su urgente colaboración para saber cuanto debo declarar de renta por el impiesto predial de esta propiedad. No he podido obtener este dato por la aplicación que aparece en internet.
Gracias","Cerrada","SI","PQRDS"
"372967114206","25 agosto 2023 03:24:11","Sugerencia","SI","Necesito copia del impuesto predial pago por mi casa de 2022 y 2023.   Cedula 51797340","Cerrada","SI","Chat"
"372952125001","25 agosto 2023 10:06:50","Solicitud de información","NO","buenos  dias   solicito  paz y  salvo de  impuesto  de  predio ubicado  en flandes  tolima cedula catastral 000100053857804  de  propiedad de  nelson montenegro cc 79617326
adjunto documentacion gracias","Cerrada","SI","PQRDS"
"372949083306","24 agosto 2023 01:14:46","Sugerencia","SI","buenas  tardes estoy  solicitando  un  paz  y  salvo  de  impuesto  predial para  realizar  una  compra  predio  y  un  certificado  de  tradición y  liberta  del  municipio   de Flandes Cundinamarca necesito  el  nombre  la  pagina  correo donde  pueda  realizar  la   solicitud","Cerrada","SI","Chat"
"372936694402","24 agosto 2023 10:58:00","Petición","SI","Solicito el POT vigente del municipio. 

Cordialmente,    Arq. YEZID LUNA G","Abierta","SI","PQRDS"
"372929565205","23 agosto 2023 03:21:28","Denuncia","SI","Ojo con los delicuentes que tiene secuestrado a José Fredy mape Vargas se llaman Natalia cantillo sus hijos Angela Patricia mape cantillo, Natalia mape cantillo y Fredy Gerardo mape cantillo, saquelo del Sisben son personas muy peligrosas, gracias.","Abierta","SI","PQRDS"
"372894647802","23 agosto 2023 09:44:37","Petición","SI","Solicitud de información cobro por concepto de valorización del municipio de Flandes, petición realizada por Central De Inversiones S.A. entidad encargada de administrar los bienes inmuebles dados en Leasing Habitacional del Fondo Nacional del Ahorro.","Abierta","SI","PQRDS"
"372886307702","21 agosto 2023 07:41:25","Petición","NO","Señores Alcaldía Flandes Tolima.
Yo Gilberto Pulido Gomez, con número de cédula 80.471.430, me encuentro realizando el trámite de mi declaración de renta, y  en la consulta de información reportada por terceros, por parte de la alcaldía de Flandes, aparece un predio registrado con mi número de cédula pero a nombre del señor GILBERTO PULIDO HERNANDEZ, el cual no corresponde a mi nombre, este predio yo no lo he adquirido, por lo que se esta reportando un error, el cual solicito sea solucionado en razón a quemé esta generando inconvenientes con la información que la
DIAN me esta reportando","Abierta","SI","PQRDS"
"372877778307","18 agosto 2023 04:37:53","Agenda tu cita","NO","Caso pendiente por solucion: 362654505802","Abierta","SI","PQRDS"
"372869278806","16 agosto 2023 12:48:40","Sugerencia","SI","POR FAVOR NECESITO SABER COMO LOGRO DESCARGAR UN PAZ Y SALVO DE VALORIZACION","Abierta","SI","Chat"
"372853150302","15 agosto 2023 05:55:21","Petición","NO","Requiero el envío del impuesto predial de la casa ya que por la aplicación ni me registra  el número de catastro es 7327501010000001580802800000007, o número de matricula 357-39574","Cerrada","SI","PQRDS"
"372845217203","15 agosto 2023 09:18:31","Queja","SI","Es imposible comunicarse a través de las redes sociales y telefónicamente con ustedes. Necesito un paz y salvo y no he podido dé ningún modo contactarme con ninguna dependencia","Cerrada","SI","PQRDS"
"372833490604","12 agosto 2023 02:23:58","Reclamo","NO","Buenos Dias 

Mi nombre es Maria Alicia Sora de Castillo identificada con la cedula 41.471.859 de la ciudad de Bogota, El dia 10-03-2022, realice el pago del impuesto predial de REFERENCIA No: 105652220231286122023011 y FACTURA No: 2023128612, por medio de boton de PSE por un monto de 337.300 pesos, segun las instrucciones impartidas en la pagina para el pago del impuesto predial.

http://www.flandes-tolima.gov.co/noticias/como-pagar-impuesto-predial-en-linea

En el momento de hacer la trasferencia sale un anuncio que el pago esta en estado PENDIENTE y quiero validar por este medio y segun ese mismo anuncio el pago del mismo, ya que al verificar nuevamente no me aparece ningun anuncio asociado al pago, cuando ya se realizo el pago.

De acuerdo a ello solicito me envien por este medio PAZ Y SALVO o certificado de pago del impuesto predial ya pago, asi como copia del impuesto predial 2023, y que me lo manden a este correo: carloscast29@hotmail.com

Adjunto pantallazos del debito por pse y demas comprobantes de pago, para el municipio de flandes correspondientes al pago del impuesto y factura del impuesto.

Quiero señalar que esta misma solicitud se realizo el dia 2023/03/14 a las 19:44:18 con numero de seguimiento 321722938502 a la alcadia de flandes, estando abierta hasta el dia de hoy y sin obtener respuesta alguna. 

Estare atenta en que me colaboren con esta peticion y que me envien los documentos que solicito.

Atentamente
Maria Alicia Sora de Castillo","Cerrada","SI","PQRDS"
"372826305606","11 agosto 2023 12:11:45","Sugerencia","SI","ingreso a pago de impuestos pero no me esta generando la factua. Necesito la factura del impuesto predial del 2022 de mis predios con cedula catastral: 000100020301801 y 000100020300801","Cerrada","SI","Chat"
"362865617406","10 agosto 2023 12:11:40","Sugerencia","SI","Como puedo solicitar un paz y salvo de valorizacion de un predio en flandes","Abierta","SI","Chat"
"362854305202","08 agosto 2023 11:11:50","Petición","NO","Solicito actualización en su base de datos, relacionado con la propiedad del inmueble  ubicado en Flandes Tolima, debido a que este se vendió en el año 2008 y según información reportada por ustedes a la DIAN, aun soy propietaria.
Esto debido a que en este momento estoy realizando mi declaración de renta del año 2022 y por lo tanto ese bien inmueble no debe estar puesto que se vendió en el 2008.","Cerrada","SI","PQRDS"
"362847914402","08 agosto 2023 10:35:15","Petición","NO","Corrección de información que la alcaldía de Flandes reporto a la Dian, relacionado con datos de ser propietario de un inmueble ubicado en Flandes, lo cual no es cierto, puesto que la casa se vendió en el 2008.
Esta solicitud la hago debido a que en este momento estoy elaborado mi declaración de renta del año 2022.","Cerrada","SI","PQRDS"
"362834491302","08 agosto 2023 04:03:29","Petición","SI","reporte terceros nit. 800100055, avaluo catastral. 
yo dani mauricio prieto garzon, identificado con cedula de ciudadania N° 11.259.752. no tengo propiedades en el municipio de flandes tolima. agradezco dar claridad de este tema y si es posible adjuntar los documentos donde conste que poseo una propiedad en su municipio para poder validar con mis abogados.
anexo reporte de la DIAN, donde figura dicho reporte de la propiedad.","Abierta","SI","PQRDS"
"362822264702","08 agosto 2023 12:00:32","Petición","SI","Buenos días, requiero por favor el estado de cuenta del impuesto predial del lote con cedula catastral 732750102000001840801800000009.","Cerrada","SI","PQRDS"
"362814011002","08 agosto 2023 08:19:24","Petición","NO","Dosquebradas, julio 31 de 2023


Señores
Instituciones educativas de educación básica y secundaria y ciclos lectivos integrados especiales
Municipio de Flandes

Reciban un cordial saludo.

La institución educativa Juan Manuel González, ubicada en el municipio de Dosquebradas en el  departamento de Risaralda en Colombia y el programa Ojitos Lectores tienen el gusto de invitarlos al 

X Concurso de crónica infantil y juvenil  Ojitos Lectores
(dirigido a: estudiantes matriculados en los grados 3° a 8°, ciclo II -III o su equivalencia)


Tema: “Historias de animales que transforman vidas humanas y promueven la relación positiva con el planeta y otros seres vivos”

Fecha Convocatoria:  Julio 10  a Septiembre 30  de 2023

Como concurso estaremos apoyando el proceso de información de ¿cómo participar? para ello pueden contactarnos a través del Celular y WhatsApp +57 301 4272579 y/o al correo electrónico ojitoslectores@gmail.com.

Adjuntamos el afiche  que contiene las bases del concurso.  Adicionalmente, compartimos los libros digitales del 9° Concurso de Crónica Infantil y Juvenil Ojitos Lectores - 1° Concurso de Cartas Adulto mayor Ojitos Lectores de libre distribución y para uso pedagógico, los cuales pueden ser descargados de manera gratuita en la siguiente dirección:
https://ojitoslectores.com/
https://drive.google.com/drive/folders/1pOsvMj2zMgwK4e9P-9662ei1SQpeRnSI?usp=drive_link

Respetuosamente, les solicitamos difundir con sus instituciones educativas.

Daniel González Rayo - Rector						
Patricia Pungo - Coordinadora y Gestora Ojitos Lectores","Abierta","SI","PQRDS"
"362808505601","05 agosto 2023 06:36:30","Solicitud de información","NO","Solicito información de donde puedo sacar el paz y salvo de predial y certificado de valorización- Gracias","Cerrada","SI","PQRDS"
"362794356703","04 agosto 2023 12:38:44","Queja","NO","Buenas tardes en el 02-05-2017, adquiero un predio CODIGO CATASTRAL: 732750101000001290801800000029, numero de matricula 357-45666, se realizo la inscripción del predio en instrumentos públicos del espinal en esa fecha, pero a la fecha aun sigue llegando el recibo del impuesto predial a nombre del propietario anterior, es muy difícil cada vez para enviar la documentación me toque pagar nuevamente el certificado de tradición y libertad, solicito que se actualice los datos por parte de la alcaldía de Flandes, con los datos actualizados del municipio del espinal, asi lograr corregir la novedad que me esta causando novedades con el propietario anterior, que por culpa de la desactualización de su sistema sigue llegando el recibo del impuesto a nombre de el","Cerrada","SI","PQRDS"
"362785352706","04 agosto 2023 11:28:12","Sugerencia","SI","SOLICITUD FACTURA IMPUESTO PREDIAL FLANDES AÑO 2022","Cerrada","SI","Chat"
"362774859002","04 agosto 2023 07:01:39","Petición","NO","Cordial saludo:

En desarrollo del Derecho de Petición consagrado en el articulo 23 de la C.N. y demás normas concordantes, presento solicitud respetuosa así: 
Con el propósito de presentar la declaración de Renta reviso la exógena y aparece un reporte del Municipio de Flandes supuestamente por tener una propiedad a mi nombre, situación que no es real , el único contacto con esa Alcaldía es el pago de Impuesto predial por un predio de propiedad exclusiva de mis hijos. Ese reporte que no es real incrementa mi renta perjudicándome sin razón.
Agradezco con carácter urgente modificar el reporte de exógena presentado a la DIAN e informarme del hecho para presentar la declaración con información verídica.

JOHANNA CATHERINE ALFONSO BARBOSA
CORREO ELECTRONICO JCAB1802@GMAIL.COM
C.C. 39703660","Abierta","SI","PQRDS"
"362764828502","02 agosto 2023 03:55:22","Petición","NO","Solicitud de concepto de uso del suelo predios del ICBF de acuerdo con información en oficio adjunto
Oficio de solicitud","Abierta","SI","PQRDS"
"362758208302","01 agosto 2023 08:18:40","Petición","SI","ENTREGA DE ASISTENCIA TÉCNICA TERRITORIAL - LÍNEA TEMÁTICA DE POLÍTICAS PÚBLICAS - ESCUELA SUPERIOR DE ADMINISTRACIÓN PÚBLICA - ESAP","Abierta","SI","PQRDS"
"362742577306","31 julio 2023 03:22:34","Sugerencia","SI","Buenas tardes Estoy interesada en saldar los impuestos prediales atrasados de mi predio en flandes tolima casa D15 conjunto residencial can cun . Quiero saber acuerdos de pago","Abierta","SI","Chat"
"362732093202","27 julio 2023 08:55:27","Petición","NO","Agradezco poder tener una copia del impuesto predial del predio identificado con numero catastral 01-03-0321-0016-801, correspondiente al 2023 y que por  ningun medio digital he podido obtener, y que se encuentra a mi nombre.","Abierta","SI","PQRDS"
"362724239902","27 julio 2023 05:26:38","Petición","NO","Solicitamos el favor de copia de los pago de la impuestos prediales del año 2021, 2022 y 2023","Cerrada","SI","PQRDS"
"362714848402","27 julio 2023 04:32:00","Petición","SI","Solicito se haga efectiva las resoluciones 304-2022 y 303-2022 compensaciones vigencias posteriores, ya que revisando las facturas de impuesto predial no se han hecho efectivos dichos ajustes.

Adjunto las resoluciones y las facturas de impuesto predial.

Agradezco la atención prestada y quedo en espera de una pronta solución.","Abierta","SI","PQRDS"
"362706825202","27 julio 2023 04:29:58","Petición","SI","Solicito se haga efectiva las resoluciones 304-2022 y 303-2022 compensaciones vigencias posteriores, ya que revisando las facturas de impuesto predial no se han hecho efectivos dichos ajustes.

Adjunto las resoluciones y las facturas de impuesto predial.

Agradezco la atención prestada y quedo en espera de una pronta solución","Cerrada","SI","PQRDS"
"362693967106","27 julio 2023 01:49:35","Sugerencia","SI","buen dia","Cerrada","NO","Chat"
"362685687002","27 julio 2023 09:38:09","Petición","SI","Buenos dias, agradezco me puedan enviar una copia de la factura de impuesto predial para efectos de declaracion de renta, Casa C4 Condominio Parques de Pakistan V 
Requiero el avlauo catastral 
Cedula catastral 732750103000003740004801000000
Ced ant. 010303740004801","Abierta","SI","PQRDS"
"362673149502","25 julio 2023 06:48:39","Petición","NO","Dosquebradas, julio 25  de 2023


Señores
Instituciones educativas de educación básica y secundaria y ciclos lectivos integrados especiales
Municipio de Flandes

Reciban un cordial saludo.

La institución educativa Juan Manuel González, ubicada en el municipio de Dosquebradas en el  departamento de Risaralda en Colombia y el programa Ojitos Lectores tienen el gusto de invitarlos al 

X Concurso de crónica infantil y juvenil  Ojitos Lectores
(dirigido a: estudiantes matriculados en los grados 3° a 8°, ciclo II -III o su equivalencia)


Tema: “Historias de animales que transforman vidas humanas y promueven la relación positiva con el planeta y otros seres vivos”

Fecha Convocatoria:  Julio 10  a Septiembre 30  de 2023

Como concurso estaremos apoyando el proceso de información de ¿cómo participar? para ello pueden contactarnos a través del Celular y WhatsApp +57 301 4272579 y/o al correo electrónico ojitoslectores@gmail.com.

Adjuntamos el afiche  que contiene las bases del concurso.  Adicionalmente, compartimos los libros digitales del 9° Concurso de Crónica Infantil y Juvenil Ojitos Lectores - 1° Concurso de Cartas Adulto mayor Ojitos Lectores de libre distribución y para uso pedagógico, los cuales pueden ser descargados de manera gratuita en la siguiente dirección:
https://ojitoslectores.wordpress.com/
.
Respetuosamente, les solicitamos difundir con sus instituciones educativas.

Daniel González Rayo - Rector						
Patricia Pungo - Coordinadora y Gestora Ojitos Lectores","Abierta","SI","PQRDS"
"362661738902","25 julio 2023 08:22:21","Petición","SI","SOLICITUD DE PAZ Y SALVO PREDIAL","Cerrada","SI","PQRDS"
"362654505802","24 julio 2023 08:08:43","Petición","NO","Hola. Buenas tardes.
Soy funcionario público, recurro a ustedes dado que este fin de semana estuve visitando unos lotes que están en venta en la vereda CAMALA del municipio de Flandes, los cuales están vendiendo con promesa de entrega para Enero 2025 en el proyecto que visite. 
Le solicite a las personas copia del rut, cámara de comercio y uso del suelo y me los compartieron sin problema. 
Adjunto dichos documentos.
Necesito de su colaboración indicándome si esos documentos son auténticos y de si en esa propiedad efectivamente se puede construir. 
Quedo atento a su pronta respuesta, dado que firme un contrato con ellos y el 25 de agosto debo ir a la notaria de Flandes a firmar escrituras.
Muchas gracias por su pronta respuesta.

Saludos,","Cerrada","SI","PQRDS"
"342355460402","19 mayo 2023 04:04:23","Petición","NO","Derecho de petición para solicitar información relacionada con procesos de educación ambiental en la vereda Camalá, Flandes","Abierta","SI","PQRDS"
"342346202006","18 mayo 2023 11:53:01","Sugerencia","SI","como puedo sacar el paz y salvo de valorización y el paz y salvo de pago del predial?","Abierta","SI","Chat"
"362644296205","22 julio 2023 11:13:55","Denuncia","SI","En el conjunto balcones de Alejandría ubicado en la vereda topacio,  un trabajador no cuenta con el curso de alturas, es decir nunca lo ha tenido, y es necesario, la señora administradora no le pone atención a eso, es daría para multar a la representante legal, exigo que le hagan el seguimiento hya muchas irregularidades en ese conjunto, por el tema de piscina donde están el motor las máquinas hay un riesgo inminente. 
Nadie le ha puesto cuidado ha ese tema  y eso no es de mantenimiento es del descuido de los responsables. 
Antes que suceda un accidente con faltalidad hagan una intervención a tiempo y les cabe la multa por negligentes.","Cerrada","SI","PQRDS"
"362639302606","21 julio 2023 03:31:49","Sugerencia","SI","Por favor su ayuda debo pagar mi predial pero no me deja accederá la factura","Abierta","SI","Chat"
"362624914706","21 julio 2023 01:08:06","Sugerencia","SI","Buenas tardes
agradezco me orienten el proceso para poder tramitar el paz y salvo de impuesto de un predio en la ciudad de Flandez (Orquideas 1) desde la ciudad de Bogotá","Abierta","SI","Chat"
"362611555902","20 julio 2023 11:42:21","Petición","NO","Buenas tardes, soy propietaria de 2 locales comerciales en el Conjunto Residencial Alcala en Flandes Tolima, necesito cambiar su naturaleza de comercial a Mixto o Residencial, por favor me informan que  tramites debo realizar ante la Alcaldía de Flandes, Gracias por su valiosa información. Matriculas Inmobiliarias Nos. 101002630003801 local No. 3 y 010102630002801 Local No. 4. Por favor informarme al correo    aiped.tusasesores@gmail.com","Abierta","SI","PQRDS"
"362606270602","18 julio 2023 11:57:39","Petición","SI","Derecho de petición","Cerrada","NO","PQRDS"
"362592998502","14 julio 2023 10:44:57","Petición","SI","Solicito de manera respetuosa ante ustedes ALCALDIA DE FLANDES me integre a los programas sociales a mi, ANA SOL CALDERON MOLINA mayor de edad , identificada con cedula de ciudadanía No. 39.579.248.","Abierta","SI","PQRDS"
